Dartmouth,College,Women,Division I,New England,Greater New England DI,2018-03-07,16,1831,4,1,2018-03-14,12,1937,4,1,2018-03-21,12,1998,4,1,2018-03-28,1,2448,11,1,2018-04-03,1,2414,11,1,2018-06-03,1,2493,31,1
Stanford,College,Women,Division I,Southwest,NorCal DI,2018-03-07,2,2260,20,1,2018-03-14,2,2242,20,1,2018-03-21,2,2352,20,1,2018-03-28,4,2248,24,3,2018-04-03,4,2210,24,3,2018-06-03,2,2258,40,5
North Carolina,College,Women,Division I,Atlantic Coast,Carolina DI,2018-03-07,3,2202,10,0,2018-03-14,5,2162,10,0,2018-03-21,5,2275,11,0,2018-03-28,3,2266,16,1,2018-04-03,2,2260,16,1,2018-06-03,3,2203,31,3
California-San Diego,College,Women,Division I,Southwest,SoCal DI,2018-03-07,1,2314,18,2,2018-03-14,1,2295,18,2,2018-03-21,1,2406,18,2,2018-03-28,2,2286,23,3,2018-04-03,3,2248,22,3,2018-06-03,4,2197,39,5
British Columbia,College,Women,Division I,Northwest,Cascadia DI,2018-03-07,5,2184,5,1,2018-03-14,4,2164,5,1,2018-03-21,4,2276,5,1,2018-03-28,6,2111,9,4,2018-04-03,6,2075,9,4,2018-06-03,5,2118,22,8
Pittsburgh,College,Women,Division I,Ohio Valley,Pennsylvania DI,2018-03-07,10,1996,6,4,2018-03-14,10,1981,6,4,2018-03-21,9,2086,6,4,2018-03-28,11,2010,8,4,2018-04-03,11,1982,7,4,2018-06-03,6,2094,24,6
Oregon,College,Women,Division I,Northwest,Cascadia DI,2018-03-07,4,2187,17,4,2018-03-14,3,2169,17,4,2018-03-21,3,2280,17,4,2018-03-28,5,2161,22,6,2018-04-03,5,2125,20,6,2018-06-03,7,2082,32,10
Texas,College,Women,Division I,South Central,Texas DI,2018-03-07,8,2022,8,8,2018-03-14,8,2004,8,8,2018-03-21,8,2115,8,8,2018-03-28,10,2022,14,8,2018-04-03,10,1993,14,8,2018-06-03,8,2054,27,10
Colorado,College,Women,Division I,South Central,Rocky Mountain DI,2018-03-07,7,2071,10,4,2018-03-14,7,2052,10,4,2018-03-21,7,2162,10,4,2018-03-28,7,2049,15,5,2018-04-03,9,2018,15,5,2018-06-03,9,2047,31,8
Carleton College,College,Women,Division I,North Central,Western North Central DI,2018-03-07,6,2086,8,3,2018-03-14,6,2061,8,3,2018-03-21,6,2169,8,3,2018-03-28,12,1973,11,7,2018-04-03,12,1938,11,7,2018-06-03,10,2003,27,9
Tufts,College,Women,Division I,New England,Metro Boston DI,2018-03-07,9,2006,9,2,2018-03-14,9,1988,9,2,2018-03-21,10,2084,9,2,2018-03-28,9,2043,14,3,2018-04-03,8,2028,13,3,2018-06-03,11,1994,27,7
Ohio State,College,Women,Division I,Ohio Valley,Ohio DI,2018-03-07,12,1918,12,6,2018-03-14,14,1893,12,6,2018-03-21,13,1993,12,6,2018-03-28,13,1954,17,7,2018-04-03,13,1926,16,7,2018-06-03,12,1985,31,10
West Chester,College,Women,Division I,Ohio Valley,Pennsylvania DI,2018-03-07,11,1993,8,2,2018-03-14,11,1948,8,2,2018-03-21,11,2052,8,2,2018-03-28,8,2049,8,2,2018-04-03,7,2033,8,2,2018-06-03,13,1912,20,7
North Carolina State,College,Women,Division I,Atlantic Coast,Carolina DI,2018-03-07,19,1763,8,3,2018-03-14,20,1745,8,3,2018-03-21,19,1862,9,4,2018-03-28,18,1835,9,4,2018-04-03,14,1910,13,4,2018-06-03,14,1852,27,9
