1,Carleton College,2165,College,Men,Division I,North Central,Northwoods DI,38,3,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=07w4ZM%2buwH3CMfiMsFNpjjsRxwOklStysrZ6PcakvGY%3d
2,North Carolina,2140,College,Men,Division I,Atlantic Coast,Carolina DI,41,2,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tTPKbT0lNmhwk40hQhCrfkiYA4UNB95Q8YLAJM4NsRM%3d
3,Oregon,1996,College,Men,Division I,Northwest,Cascadia DI,35,5,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tZdD2WzmrUA%2fDVrhVdjGLmW88KX4zJDDBqqx82DVQhM%3d
4,Pittsburgh,1957,College,Men,Division I,Ohio Valley,West Penn DI,30,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=9FTYxPVZLwk2RaMj9L2AuOylO37u7wbB6%2bua71J65IA%3d
5,Brown,1954,College,Men,Division I,New England,South New England DI,26,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=E3V1dkRRQqEIJcR1xqxF5FvLSGXRJz8KFumviJ5kgNw%3d
6,Washington,1870,College,Men,Division I,Northwest,Cascadia DI,38,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=LJdXTqDHjzqT7cPUQLZ5dRmmRNimZyyoV7EgMV6yRSY%3d
7,Massachusetts,1867,College,Men,Division I,New England,South New England DI,24,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ZMtt4JUVGBwxvYJ5%2bdMe9YFqp1M%2fiHjwxicxP7xYvw0%3d
8,Minnesota,1860,College,Men,Division I,North Central,Northwoods DI,33,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=RTtBA3QNyXvEdpDeMximptXnVAZv2vqT%2fWnKzRZeFlY%3d
9,Georgia,1790,College,Men,Division I,Southeast,Southern Appalachian DI,20,7,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=yoHir6vk74qrd42cBiktpusmlAx6WY0T%2bEia2Dr8QQo%3d
10,Wisconsin,1764,College,Men,Division I,North Central,Lake Superior DI,31,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=picLu7CJRRAYVk4Qq3dQyJwtmd622%2fzKrwEDr49fMdI%3d
11,Florida,1752,College,Men,Division I,Southeast,Florida DI,31,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=dpdb1%2fM0wWrdXgX6dndydcEVtkMzBgB%2b0eU1%2bHdUHbU%3d
12,Texas,1743,College,Men,Division I,South Central,South Texas DI,28,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=9IxTEXmeKm0H1nfQZxzarHjFDz9iinj0ZK6yhr7TOoA%3d
13,Virginia Tech,1702,College,Men,Division I,Atlantic Coast,Virginia DI,25,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=LdzSneqQ%2fTX9SabAxt3Bo3XMddhzixIvoal5J33LLqI%3d
14,Brigham Young,1697,College,Men,Division I,Northwest,Big Sky DI,21,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=PNfyLPUrhG56iVEYP9OMavImDPLl3SKX%2fDUBIQqlpDc%3d
15,North Carolina-Wilmington,1694,College,Men,Division I,Atlantic Coast,Carolina DI,30,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=k3HG0AgmR3eknUs9SgN3KxJiQ4wC41vlhgm31XHRzhs%3d
16,William & Mary,1679,College,Men,Division I,Atlantic Coast,Virginia DI,37,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Lth6rNDHANmuRjZBV9haA0j%2fu76%2bdUl%2bDaOZaLMFEfg%3d
17,Colorado,1676,College,Men,Division I,South Central,Rocky Mountain DI,22,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=AK97D%2fDB1oEOGAlh999idCCpd45le3MkNRTXnDrZSGI%3d
18,Auburn,1675,College,Men,Division I,Southeast,Gulf Coast DI,26,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=wSBSEWRc3K1dL3bQhrVDy%2ftfVmM5Vol%2bvrN7k9SrUA0%3d
19,Cal Poly-SLO,1666,College,Men,Division I,Southwest,SoCal DI,26,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tw%2fN%2bzpAp4JZRLpcHR0D%2baWzdfPjJUkmO03xULHFRJQ%3d
